Given_ID_Clean,Final ID,Missing ID or ID Uncertain,duplicated
sops-of-wine,sops of wine,,False
sops of wine,sops of wine,,False
something,,?,False
somerset beauty,,?,False
somerset,somerset,,False
somersert,somerset,,False
soldat laboreur,solldat laboureur,,False
solcen bell,golden ball,,False
soamid,,?,False
snowflake,,?,False
snowfield,,?,False
snowball,fameuse,,False
snow flake,,?,False
snow ball,fameuse,,False
snow apple,fameuse,,False
snow,fameuse,,False
smyth's cider,smith's cider,,False
smoke house,smokehouse,,False
smith's sweet,smith's sweet,,False
smith's favorite,smith's favorite,,False
smith's fameuse seedling,smith's fameuse seedling,,False
smith's cider,smith's cider,,False
smith sweet,smith's sweet,,False
smith cider,smith's cider,,False
slinton,,?,False
sledge sweeting,ledge sweet,,False
slactory victory,,?,False
simpson,,?,False
silver crest,,?,False
sickle,seckel,,False
sickel,seckel,,False
sibicum,,?,False
siberian russet,,?,False
siberian crab,,?,False
siberian august,july,,False
shropshirevine,sops of wine,,False
shiewassia beauty,shiawasse beauty,,False
shiawassee beauty,shiawasse beauty,,False
sherwood's favorite,chenango strawberry,,False
sherwood favorite,chenango strawberry,,False
shendon,sheldon,,False
sheldon,sheldon,,False
shekal,seckel,,False
sheeps nose,black gilliflower,,False
sheepnose,black gilliflower,,False
shapleigh apple,shapleigh apple,,False
seventy ounce,,?,False
september sweet,,?,False
sengrianna,,?,False
senator,oliver,,False
selkirk,seckel,,False
sekel,seckel,,False
seeks,westfield seek no farther,,False
seekonk,seekonk,,False
seek-no-further,westfield seek no farther,,False
seek-no-farther,westfield seek no farther,,False
seek no further,westfield seek no farther,,False
seek no farther,westfield seek no farther,,False
seek,westfield seek no farther,,False
seedling bartlett,seedling bartlett,,False
seckle,seckel,,False
seckel,seckel,,False
seaver,seaver,?,False
scott's winter,scott's winter,,False
scott's favorite,,?,False
scott winter,scott's winter,,False
scotch winter,scott's winter,,False
scotch sweet,scott's winter,,False
schoolhouse,,?,False
scarlet pearmain,,?,False
scarlet crab,,?,False
sawyer sweet,,?,False
savoy,,?,False
savage,,?,False
sassafras sweet,haskell,,False
sarah,sarah,,False
sapson,sops of wine,,False
salome,salome,,False
