county,fair,year,apple_type,apple_totals
Knox ,Knox Co.,1888,Pewaukee,39
Knox ,Knox Co.,1888,Philadelphia Pippin,39
Knox ,Knox Co.,1888,Pumpkin Sweet,39
Knox ,Knox Co.,1888,R. I. Greening,39
Knox ,Knox Co.,1888,Red Astrachan,39
Knox ,Knox Co.,1888,Roxbury Russet,39
Knox ,Knox Co.,1888,Somerset,39
Knox ,Knox Co.,1888,Sweet Bough,39
Knox ,Knox Co.,1888,Talman Sweet,39
Knox ,Knox Co.,1888,Tompkins King,39
Knox ,Knox Co.,1888,Twenty Ounce,39
Knox ,Knox Co.,1888,Wagner,39
Knox ,Knox Co.,1888,William's Favorite,39
Knox ,Knox Co.,1888,Yellow Bellflower,39
Knox ,Knox Co.,1889,(Pear) Barltett,47
Knox ,Knox Co.,1889,(Pear) Bell Lucrative,47
Knox ,Knox Co.,1889,(Pear) Bonne de Jersey,47
Knox ,Knox Co.,1889,(Pear) Brinkles Orange,47
Knox ,Knox Co.,1889,(Pear) Buerre de Anjou,47
Knox ,Knox Co.,1889,(Pear) Duchess,47
Knox ,Knox Co.,1889,(Pear) Flemish Beauty,47
Knox ,Knox Co.,1889,(Pear) Howell,47
Knox ,Knox Co.,1889,(Pear) Lawrence,47
Knox ,Knox Co.,1889,(Pear) Seckel,47
Knox ,Knox Co.,1889,(Pear) Sheldon,47
Knox ,Knox Co.,1889,(Pear) Vicar of Wakefield,47
Knox ,Knox Co.,1889,Alexander,47
Knox ,Knox Co.,1889,Alexandria,47
Knox ,Knox Co.,1889,Baldwin,47
Knox ,Knox Co.,1889,Ben Davis,47
Knox ,Knox Co.,1889,Black Oxford,47
Knox ,Knox Co.,1889,Blue Pearmain,47
Knox ,Knox Co.,1889,Fall Greening,47
Knox ,Knox Co.,1889,Fall Pippin,47
Knox ,Knox Co.,1889,Famuese,47
Knox ,Knox Co.,1889,Golden Russet,47
Knox ,Knox Co.,1889,Gravenstein,47
Knox ,Knox Co.,1889,Hubbardston Nonsuch,47
Knox ,Knox Co.,1889,Hyslop Crab,47
Knox ,Knox Co.,1889,Maiden Blush,47
Knox ,Knox Co.,1889,McIntosh Red,47
Knox ,Knox Co.,1889,Mother,47
Knox ,Knox Co.,1889,N. Y. Pippin,47
Knox ,Knox Co.,1889,Nod Head,47
Knox ,Knox Co.,1889,Northern Spy,47
Knox ,Knox Co.,1889,Peck's Pleasant,47
Knox ,Knox Co.,1889,Pewaukee,47
Knox ,Knox Co.,1889,Porter,47
Knox ,Knox Co.,1889,R. I. Greening,47
Knox ,Knox Co.,1889,Red Astrachan,47
Knox ,Knox Co.,1889,Ribston Pippin,47
Knox ,Knox Co.,1889,Roxbury Russet,47
Knox ,Knox Co.,1889,Russet,47
Knox ,Knox Co.,1889,St. Lawrence,47
Knox ,Knox Co.,1889,Swaar,47
Knox ,Knox Co.,1889,Sweet Bough,47
Knox ,Knox Co.,1889,Talman Sweet,47
Knox ,Knox Co.,1889,Tompkins King,47
Knox ,Knox Co.,1889,Twenty Ounce,47
Knox ,Knox Co.,1889,Wagner,47
Knox ,Knox Co.,1889,Yellow Bellflower,47
Knox ,Knox Co.,1890,Alexander,16
