Given_ID_Clean,Presumed_ID_Clean,uncertain
spur sweet,spurr sweet,
spring sweet,,?
spring russett,,?
sponge sweet,,?
sponge russett,sponge russet,
sponge russet,sponge russet,
sponge russet,sponge russet,
sponce russet,sponge russet,
spitzenbury,esopus spitzenburg,
spitzenburg,esopus spitzenburg,
spitzenburg,esopus spitzenburg,
spitzenburg,esopus spitzenburg,
spitzenberg pearmain,,?
spitzenberg,esopus spitzenburg,
spitzenberg,esopus spitzenburg,
spitzenberg,esopus spitzenburg,
spitzbergen,esopus spitzenburg,
spitzbergen,esopus spitzenburg,
spitzberg,esopus spitzenburg,
spitz bergen,esopus spitzenburg,
spicy red,,?
spicy quince,quince of coxe,?
spice sweeting,spice sweet,
spice sweet,spice sweet,
spice russet,spice russet,
spice apple,spice sweet,
spice,spice sweet,
spice,spice sweet,
spec pheasant,peck's pleasant,
spaulding,,?
souvenir du congress,souvenir du congress,
souvenir decongress,souvenir du congress,
souvenir de congress,souvenir du congress,
southern darkey,arkansas black,
sour russett,,?
sour crab,,?
sour bough,champlain,
sorrett,russett,
sopsavine,sops of wine,
sops-of-wine,sops of wine,
sops of wine,sops of wine,
sops of wine,sops of wine,
something,,?
somerset beauty,,?
somerset,somerset,
somerset,somerset,
somersert,somerset,
soldat laboreur,solldat laboureur,
solcen bell,golden ball,
soamid,,?
snowflake,,?
snowfield,,?
snowball,fameuse ,
snow flake,,?
snow ball,fameuse ,
snow apple,fameuse,
snow apple,fameuse,
snow,fameuse,
snow,fameuse,
smyth's cider,smith's cider,
smoke house,smokehouse,
smith's sweet,smith's sweet,
smith's favorite,smith's favorite,
smith's fameuse seedling,smith's fameuse seedling,
smith's cider,smith's cider,
smith sweet,smith's sweet,
smith cider,smith's cider,
slinton,,?
sledge sweeting,ledge sweet,
slactory victory,,?
simpson,,?
silver crest,,?
sickle,seckel,
sickle,seckel,
sickel,seckel,
sibicum,,?
siberian russet,,?
siberian crab,,?
siberian august,july,
shropshirevine,sops of wine,
shiewassia beauty,shiawasse beauty,
shiawassee beauty,shiawasse beauty,
sherwood's favorite,chenango strawberry,
sherwood's favorite,chenango strawberry,
sherwood favorite,chenango strawberry,
shendon,sheldon,
sheldon,sheldon,
sheldon,sheldon,
shekal,seckel,
sheeps nose,black gilliflower,
sheepnose,black gilliflower,
shapleigh apple,shapleigh apple,
seventy ounce,,?
september sweet,,?
sengrianna,,?
senator,oliver,
senator,oliver,
selkirk,seckel,
sekel,seckel,
seeks,westfield seek no farther,
seekonk,seekonk,
seek-no-further,westfield seek no farther,
seek-no-further,westfield seek no farther,
seek-no-further,westfield seek no farther,
seek-no-farther,westfield seek no farther,
seek-no-farther,westfield seek no farther,
seek no further,westfield seek no farther,
seek no further,westfield seek no farther,
seek no further,westfield seek no farther,
seek no farther,westfield seek no farther,
seek,westfield seek no farther,
seedling bartlett,seedling bartlett,
seckle,seckel,
seckel,seckel,
seckel,seckel,
seaver,seaver,?
scott's winter,scott's winter,
scott's winter,scott's winter,
scott's favorite,,?
scott winter,scott's winter,
scotch winter,scott's winter,
scotch winter,scott's winter,
scotch sweet,scott's winter,
schoolhouse,,?
scarlet pearmain,,?
scarlet crab,,?
sawyer sweet,,?
savoy,,?
savage,,?
sassafras sweet,haskell,
sarah,sarah,
sarah,sarah,
sapson,sops of wine,
salome,salome,
salome,salome,
salem russett,roxbury russet,
rutter,rutter,
rutta,rutter,
russian sweet,,?
russian red,,?
russian no. 27 m.,,?
russian iron-clad no. 4,,?
russian favorite,,?
russian crab,,?
russian,,?
russett sweet,,?
russett pairmain,hunt russet,
russett,,?
russet sweet,,?
russet permaine,hunt russet,
russet golden,,?
russet baldwin,russet baldwin,
russet (green),,?
russet,,?
russell,russell,
rusill,russell,
rush,,?
ruby red,,?
rubicon,rubicon,
royal table,royal table,
royal sweet,royal sweet,
royal red,,?
royal pearmain,herefordshire pearmain,
roxby russett,roxbury russet,
roxbury sweet,,?
