Given_ID_Clean,Presumed_ID_Clean,uncertain
beurre d'anjou,beurre d'anjou,
beurre d'amalis,beurre d'amanlis,
beurre d' anjou,beurre d'anjou,
beurre d. tryon,beurre d'anjou,
beurre claugean,beurre clairgeau,
beurre clarigeau,beurre clairgeau,
beurre clargeau,beurre clairgeau,
beurre clairgeau,beurre clairgeau,
beurre bosc,buerre bosc,
beurre bosc,beurre bosc,
beurre bos,beurre bosc,
beurre bass,beurre bosc,
beureayor,beurre d'anjou,
beune d'anjire,beurre d'anjou,
bethel,bethel,
bethel,bethel,
bethal,bethel,
betenheines,bietigheimer,
bergamont sylvange,,?
berewe rose,,?
benton red,benton red,
benton red,benton red,
benton,benton red,
benson's superfine,,?
benorie,benoni,
benorie,benoni,
benoni,benoni,
benoni,benoni,
benonah,benoni,
benne clairglaw,beurre clairgeau,
benjamin,,?
ben davis,ben davis,
ben davis,ben davis,
ben dares,ben davis,
belmont beauty,,?
belmont,,?
bells sweet,sops of wine,
bells early,sops of wine,
bells early,sops of wine,
bellflower,yellow bellflower,
bellflower,yellow bellflower,
bellfleur,yellow bellflower,
bellefluer,yellow bellflower,
belleflower,yellow bellflower,
belleflower,yellow bellflower,
bellefleur,yellow bellflower,
belle's favorite,sops of wine,
belle sue,,?
belle of lancaster,,?
belle n. franklin,,?
belle lucrative,belle lucrative,
belle lucrative,belle lucrative,
belle flower,yellow bellflower,
belle flower,yellow bellflower,
belle et bonne,belle et bonne,
belle de boskoop,belle de boskoop,
bell's early,sops of wine,
bell's early,sops of wine,
bell lucrative,belle lucrative,
bell lucrative,belle lucrative,
bell l.,belle lucrative,
bell flown,yellow bellflower,
bell flower,yellow bellflower,
bell flower,yellow bellflower,
bell apple,,?
bell,,?
belflower,yellow bellflower,
beet apple,,?
beehive,beehive,
beefsteak,beefsteak,
beef-steak,beefsteak,
beef steak,beefsteak,
bee stings,bee stings,
beauty sweet,,?
beauty of west,,?
beauty of the west,,?
beauty of sweden,beauty of sweden,
beauty of kind,beauty of kent,
beauty of kent,beauty of kent,
beauty of kent,beauty of kent,
beauty kent,beauty of kent,
beauty flemish,,?
beauty,,?
beaurre d'anjou,beurre d'anjou,
beauce,beurre bosc,
beau ideal,,?
beau ambjean,beurre d'anjou,
beateamer,bietigheimer,
beangrau,,?
beane,deane,
be-an-jean,beurre d'anjou,
baxter,baxter,
baxter,,?
basket sweet,,?
basket apple,,?
basin sweet,,?
barton pippin,,?
bartlett sweet,,?
bartlett,bartlett,
bartlett,bartlett,
barter,baxter,
barret greening,,?
barmer sweet,,?
barltett,bartlett,
barley sweet,,?
barkis,,?
barker red,,?
bare limb greening,fall harvey,
bare basque,beurre bosc,
banna,winter banana,
banfee,,?
banana sweet,,?
banana russet,banana russet,
banana apple,winter banana,
banana,winter banana,
banana,winter banana,
baltimore pippin,,?
bally's sweet,bailey sweet,
ballister,,?
ball sweet,,?
ball pippin,fall pippin,
baldwin canada,canada baldwin,
baldwin,baldwin,
baldwin,baldwin,
baking sweet,baker sweet,
baker's sweet,baker sweet,
baker sweet,baker sweet,
baker sweet,baker sweet,
bailey's sweet,bailey sweet,
bailey's sweet,bailey sweet,
bailey's sweet,bailey sweet,
bailey sweet,bailey sweet,
bailey sweet,bailey sweet,
b. de anjou,beurre d'anjou,
b. d. anjou,beurre d'anjou,
b. c. oxford,black oxford,
autumn sweet,,?
autumn strawberry,late strawberry,
autumn strawberry,late strawberry,
austin sweet,,?
aunt hannah,aunt hannah,
aunt hannah,aunt hannah,
august sweet,,?
august greening,,?
auburn sweet,,?
astrachan,red astrachan,
astrachan,red astrachan,
assumption,,?
aroostook sweeting,,?
arkansas red,arkansas,
arkansas red,arkansas,
arkansas black,arkansas black,
arkansas black,arkansas black,
arkansas beauty,arkansas beauty,
arctic baldwin,arctic,
arctic,arctic,
arctic,arctic,
araboskoe,arabaskoe,
anjou,beurre d'anjou,
anjon,beurre d'anjou,
anglo,beurre d'anjou,
american summer pearmain,american summer pearmain,
american russet,bullock,
american russet,bullock,
american pippin,,?
american golden russet,bullock,
american golden russet,bullock,
american golden pippin,,?
american blush,,?
american beauty,american beauty,
american beauty,american beauty,
allen,,?
alexandria,alexander,
alexandria,alexander,
alexander,alexander,
alexander,alexander,
adeline,,?
adelaide,,?
acme,acme,
abe lincoln,,?
,,?
