Given_ID,Presumed_ID
honey pink,
janettion,fall jennetting
jilly flower,black gilliflower
lemon apple,
maiden's blush,maiden's blush
moody,
peck's pleasant,peck's pleasant
peleg,
pound sweeting,lyman's pumpkin sweet
queens' pocket piece,
sarah,sarah
sengrianna,
snow apple,
sponge russet,sponge russet
swan apple,
vermont sweeting,
washington pippin,
watermelon,
winter harvey,
red detroit,detroit red
(pear) bell l.,
bellefleur,
caliph,
christmas sweet,
fall jennett,
falla water,
henrietta sweet,
hubbardston none such,
native greening,
new york stark,
plain jennette,
sheeps nose,
w. greening,
white giant,
york sweet,
(pear) duchesse,
eaton sweet,
genetting,
marblehead,
sponge russett,
black apple,
canada porter,
duchess of odenburg,
fall hubbardston,
gillyflower,
tolman sweeting,
king,king of tompkins
hawthornden,
nine oz.,
yellow belleflower,
davis,
emperor,
mammoth,
sweet brier,
color quince,cole's quince
elizabeth,
esvalt,
townsend,
american golden russet,
dian,
manchester strawberry,
vandevere,
(pear) hardy,
crow sweet,
daldenburg,
dodd,
english,
golden crab,
hardy sweet,
holman russet,
jenny swett,
mellen sweet,
monson's sweet,
mother of pearl,
pomme gess,
rings sweet,
river,
sarah,
tetopsky,
twelve oz.,
westfish seek no further,
winter red sweet,
wood sweet,
york russet,
boardman,
sweetburg,
beane,deane
(pear) burbank,
mclellan,
adeline,
fall jenettan,
american russet,bullock
canada greening,
clyde beauty,
harvey sweet,
keeper,
nickajack,
phonix,
pomme gris,
rowle's janet,
spring sweet,
winter crop,
(pear) duchess de angouleme,
cathead sweet,
early harvey,
genetin,
bottle,bottle greening
brackett,
coburn sweet,
peawakee,
spitzenbury,
(pear) howell winter,
bottle greening,
persian crab,
rose of stomstead,
zylphia,
hart's,
pomeroy,
sopsavine,
sutton's beauty,
belle n. franklin,
cole quince,
marde maidens blush,
n. y. nameless,
snowflake,
magog red streak,
rose of standish,
(pear) anjon,
golden russett,
golden beauty,
transcendent,
american pippin,
bailey's sweet,
bumpus,
n. y. harvey,
r. i greening,
striped harvey,
williams,
(pear) seckle,
bicknell,
sware,swaar
king,tompkins county king
maidens blush,maiden blush
spec pheasant,peck's pleasant
crown apple,
fallwater,fallawater
leafless greening,
peanwam,
peewanskee,pewaukee
red unknown,
spitzenburg,esopus spitzenburg
belle flower,yellow bellflower
kalm hill,killum hill
brooks favorite,
king tompkins,tompkins county king
southern darkey,arkansas black
kilmhill,killum hill
wine,wine
bell flower,yellow bellflower
deceiver,
nonesuch,hubbardston
belleflower,yellow bellflower
mackintosh red,mcintosh red
mann apple,mann
pound sweeting,pound sweet
spy,northern spy
falley water,fallawater
high top sweeting,hightop sweet
honey pink,honey pink
jacksons best,
jordan sweet,
kellum hill,kilham hill
n. y. sweet,
queen sweet,
rock sweet,
spice apple,
yellow siberian crab,
fall orange,fall orange
baker sweet,baker sweet
gen. grant,general grant crab
genetin,fall jennetting
kennebec greening,
talmon sweet,
whittier sweet,
pin ball,
twenty ounce greening,
banana russet,banana russet
dudley's winter,dudley winter
union russet,
cranberry pippin,cranberry pippin
oxford,
pride of the orchard,
strawberry porter,
winchester greening,winthrop greening
(pear) de angean,
(pear) dampe,
german red,
york pippin,
barmer sweet,banana sweet
orange apple,
ponds sweet,
(pear) beau ambjean,
bitter sweet,
northern bell,
red biddemere,
banana sweet,
black baldwin,black baldwin
arkansas black,arkansas black
arkansas red,arkansas
daily sweet,
water core,
(pear) de anjou,
lake,
peach blossom,
snowball,
winter mcintosh,
(pear) beangrau,
fall sweet russet,
imperial,
purple blush crab,
stayman winesap,
(pear) bran jean,
(pear) orandaga,
long field,
n. w. greening,
sweet chestnut,
genting,
golden transparent,
ontario,
(pear) florence,
(pear) hobbs favorite,
(pear) our favorite,
(pear) vicar,
cortland,
golden delicious,
hobbs' best crab,
lyscomb,
pinball sweet,
summer sweet russet,
winter sweet russet,
eatsom,
huston pippin,
peter pan,
sugar sweet,
(pear) be-an-jean,
(pear) beurre bass,
(pear) victor,
danyon,
french crab,
star porter,
(pear) clajeris favorite,
big ben,
early mcintosh,
kaneas red,arkansas red
(pear) buerre charrgean,
(pear) buerrer base,
(pear) dutchess de angulene,
red delicious,
(pear) garber,
maine harvest,
late mcintosh,
plain russet,
russet (green),
stark delicious,
iron ball,
oliver sentinal,
bartlett sweet,
boyd baldwin,
killum hill,
marling russet,
seeks,
stubb seedling,
cayuga red streak,
ransom,
autumn sweet,
bell apple,
black russett,
blue pear,
blue pearmaine,
chase apple,
colcord sweet,
corner apple,
creased apple,
cuthburt,
golden russett quince,
hacked apple,
haynes sweet,
juneating,
