County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location
hancock,ellsworth,1911.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False
hancock,ellsworth,1912.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False
hancock,ellsworth,1913.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False
hancock,ellsworth,1913.0,nicolin grange fair,north ellsworth,ellsworth american,4,premiums,False
hancock,ellsworth,1914.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,4,premiums,False
hancock,ellsworth,1914.0,nicolin grange fair,north ellsworth,ellsworth american,5,premiums,False
hancock,ellsworth,1915.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False
hancock,ellsworth,1916.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,4,premiums,False
hancock,orland,1883.0,narramissic grange fair,orland,ellsworth american,2,description,False
hancock,orland,1884.0,narramissic grange fair,orland,ellsworth american,4,premiums,False
hancock,orland,1885.0,narramissic grange fair,orland,mount desert herald,2,premiums,False
hancock,orland,1902.0,orland fair,orland,lewiston evening journal,4,premiums,False
hancock,orland,1905.0,orland fair,orland,ellsworth american,7,premiums,False
hancock,orland,1906.0,orland fair,orland,ellsworth american,3,premiums,False
hancock,orland,1909.0,alamoosook grange fair,east orland,ellsworth american,3,premiums,False
hancock,orland,1910.0,narramissic grange fair,orland,ellsworth american,6,premiums,False
hancock,orland,1912.0,narramissic grange fair,orland,ellsworth american,3,premiums,False
hancock,orland,1913.0,narramissic grange fair,orland,ellsworth american,3,premiums,False
hancock,orland,1914.0,narramissic grange fair,orland,ellsworth american,2,premiums,False
hancock,orland,1915.0,narramissic grange fair,orland,ellsworth american,8,premiums,False
hancock,orland,1883.0,narramissic grange fair,orland,maine farmer,1,premiums,False
hancock,mariaville,1913.0,mariaville grange fair,mariaville,ellsworth american,2,premiums,False
hancock,mariaville,1914.0,mariaville grange fair,mariaville,ellsworth american,3,premiums,False
hancock,mariaville,1915.0,mariaville grange fair,mariaville,ellsworth american,2,premiums,False
hancock,mariaville,1916.0,mariaville grange fair,mariaville,ellsworth american,2,premiums,False
hancock,sedgwick,1885.0,sedgwick first baptist church fair,sedgwick,ellsworth american,3,description,False
hancock,hancock co. ag. soc.,1869.0,hancock co. ag. soc. fair,ellsworth,ellsworth american,2,description,False
hancock,hancock co. ag. soc.,1858.0,hancock co. ag. soc. fair,ellsworth,ellsworth american,2,premiums,False
hancock,hancock,1915.0,pamola grange fair,hancock,ellsworth american,2,premiums,False
hancock,hancock,1914.0,pamola grange fair,hancock,ellsworth american,3,premiums,False
hancock,eden,1893.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums,False
