County,Fair,Year,Event,Location,Source,Page,Notes,Missing Location,Town Latitude,Town Longitude,County Longitude,County Latitude,Coalesce Latitude,Coalesce Longitude
hancock,blue hill,1906.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1907.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1907.0,halcyon grange fair,north blue hill,ellsworth american,5,premiums,False,44.48811693,-68.62026704,-68.402,44.614,44.48811693,-68.62026704
hancock,blue hill,1908.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1909.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1910.0,blue hill fair,blue hill,ellsworth american,7,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1911.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1912.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1913.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,blue hill,1914.0,blue hill fair,blue hill,ellsworth american,3,premiums,False,44.41242298,-68.59205993,-68.402,44.614,44.41242298,-68.59205993
hancock,ellsworth,1904.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1905.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1906.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1907.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1909.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1910.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1910.0,harvest home grange fair,west ellsworth,ellsworth american,1,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1911.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,3,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1912.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1913.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1913.0,nicolin grange fair,north ellsworth,ellsworth american,4,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1914.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,4,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1914.0,nicolin grange fair,north ellsworth,ellsworth american,5,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1915.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,5,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,ellsworth,1916.0,north ellsworth farmers club fair,north ellsworth,ellsworth american,4,premiums,False,44.572223,-68.476039,-68.402,44.614,44.572223,-68.476039
hancock,orland,1883.0,narramissic grange fair,orland,ellsworth american,2,description,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1884.0,narramissic grange fair,orland,ellsworth american,4,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1885.0,narramissic grange fair,orland,mount desert herald,2,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1902.0,orland fair,orland,lewiston evening journal,4,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1905.0,orland fair,orland,ellsworth american,7,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1906.0,orland fair,orland,ellsworth american,3,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1909.0,alamoosook grange fair,east orland,ellsworth american,3,premiums,False,44.566667,-68.679722,-68.402,44.614,44.566667,-68.679722
hancock,orland,1910.0,narramissic grange fair,orland,ellsworth american,6,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1912.0,narramissic grange fair,orland,ellsworth american,3,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1913.0,narramissic grange fair,orland,ellsworth american,3,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1914.0,narramissic grange fair,orland,ellsworth american,2,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1915.0,narramissic grange fair,orland,ellsworth american,8,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,orland,1883.0,narramissic grange fair,orland,maine farmer,1,premiums,False,44.57035,-44.57035,-68.402,44.614,44.57035,-44.57035
hancock,mariaville,1913.0,mariaville grange fair,mariaville,ellsworth american,2,premiums,False,44.6989,-68.4136,-68.402,44.614,44.6989,-68.4136
hancock,mariaville,1914.0,mariaville grange fair,mariaville,ellsworth american,3,premiums,False,44.6989,-68.4136,-68.402,44.614,44.6989,-68.4136
hancock,mariaville,1915.0,mariaville grange fair,mariaville,ellsworth american,2,premiums,False,44.6989,-68.4136,-68.402,44.614,44.6989,-68.4136
hancock,mariaville,1916.0,mariaville grange fair,mariaville,ellsworth american,2,premiums,False,44.6989,-68.4136,-68.402,44.614,44.6989,-68.4136
