County,Fair,Year,Event,Location,Source,Page,Notes
hancock,orland,1902.0,orland fair,orland,lewiston evening journal,4,premiums
hancock,orland,1905.0,orland fair,orland,ellsworth american,7,premiums
hancock,orland,1906.0,orland fair,orland,ellsworth american,3,premiums
hancock,orland,1909.0,alamoosook grange fair,east orland,ellsworth american,3,premiums
hancock,orland,1910.0,narramissic grange fair,orland,ellsworth american,6,premiums
hancock,orland,1912.0,narramissic grange fair,orland,ellsworth american,3,premiums
hancock,orland,1913.0,narramissic grange fair,orland,ellsworth american,3,premiums
hancock,orland,1914.0,narramissic grange fair,orland,ellsworth american,2,premiums
hancock,orland,1915.0,narramissic grange fair,orland,ellsworth american,8,premiums
hancock,orland,1883.0,narramissic grange fair,orland,maine farmer,1,premiums
hancock,mariaville,1913.0,mariaville grange fair,mariaville,ellsworth american,2,premiums
hancock,mariaville,1914.0,mariaville grange fair,mariaville,ellsworth american,3,premiums
hancock,mariaville,1915.0,mariaville grange fair,mariaville,ellsworth american,2,premiums
hancock,mariaville,1916.0,mariaville grange fair,mariaville,ellsworth american,2,premiums
hancock,sedgwick,1885.0,sedgwick first baptist church fair,sedgwick,ellsworth american,3,description
hancock,hancock co. ag. soc.,1869.0,hancock co. ag. soc. fair,ellsworth,ellsworth american,2,description
hancock,hancock co. ag. soc.,1858.0,hancock co. ag. soc. fair,ellsworth,ellsworth american,2,premiums
hancock,hancock,1915.0,pamola grange fair,hancock,ellsworth american,2,premiums
hancock,hancock,1914.0,pamola grange fair,hancock,ellsworth american,3,premiums
hancock,eden,1893.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums
hancock,eden,1894.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1895.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums
hancock,eden,1896.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,6,premiums
hancock,eden,1897.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums
hancock,eden,1898.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums
hancock,eden,1899.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1900.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1901.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1902.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1903.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1904.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,8,premiums
hancock,eden,1905.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,"1, 8",premiums
hancock,eden,1906.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,1,premiums
hancock,eden,1907.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums
hancock,eden,1908.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums
hancock,eden,1909.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,3,premiums
hancock,eden,1910.0,eden ag. soc. fair,eden (bar harbor),ellsworth american,3,premiums
hancock,eden,1911.0,eden ag. soc. fair,eden (bar harbor),bar harbor record,2,premiums
