Given_ID,Presumed_ID
corner apple,
cornish greening,
cortland,cortland
cortland,
cowel,
craig's pearmain,
cranberry,
cranberry crab,
cranberry pippin,cranberry pippin
cranberry pippin,
crane pippin,ortley
cream yellow,
creased apple,
crimson beauty,
cross orange,
crow sweet,
crown apple,
crystal beauty,
cubfola,
culvert,colvert
culvert,
cummings,
cummings greening,
cummings sweet,cummings sweet
cuthbert,hurlbut
cuthbert,
cuthburt,
daily sweet,
dakota red,
daldenburg,
dano,gano
danver's winter sweet,
danvers,
danvers sweet,danvers winter sweet
danvers sweet,
danvers winter sweet,
danyon,
davis,
dean,deane
dean,
deane,
deceiver,
delaware,
deleware red winter,lawver
delicious,delicious
delicious,
delicious,red delicious
derby pippin,derby pippin
detroit,
dian,
doctor brooks,
dodd,
dollar apple,
dominie,
domino,
double gill flower,
dover favorites,
drap d'or,drap d'or
duchess,
duchess,duchess of oldenberg
duchess,duchess of oldenburg
duchess of columbia,
duchess of odenburg,
duchess of oldenberg,duchess of oldenburg
duchess of oldenberg,duchess of oldenberg
duchess of oldenberg,
duchess of oldenbirg,
duchess of oldenburg,
duchess of oldenburg,duchess of oldenberg
duchess of oldenburg,duchess
duchess of oldenburg,duchess of oldenburg
duchess of oldenburgh,
duchess oldenberg,
duchess oldenburg,
duchess oldensburg,
duchess pearmain,
duchesse de ogdensburg,duchess of oldenburg
dudley,dudley winter
dudley winter,
dudley winter,dudley winter
dudley's winter,
dudley's winter,dudley winter
duke of argola,
dunning,
dutch codlin,
dutch coudle,
dutchess,
dutchess,duchess of oldenberg
dutchess of oldenburg,duchess
dwarf,
dwarf baldwin,
dyer,
"e, russett",
eagle,
early august,
early augusta,
early autumn,
early bell,
early bellflower,
early bloomfield,
early blossom,
early bough,
early favorite,
early harvest,early harvest
early harvest,
early harvey,
early jenneting,
early jennetting,
early joe,early joe
early mcintosh,
early printon,
early roxbury daggett,
early russet,
early russian,
early scarlet,early scarlet
early sour,
early strawberry,early strawberry
early strawberry,
early summer,
early sweet,hightop sweet bough
early sweet,
early sweet bough,
early transparent,
early transparent,yellow transparent
early twin,
early william,
early williams,
early winter,
eaton sweet,
eatsom,
eden beauty,
eight ounce pippin,
eldorado russet,
eleren pippin,
elizabeth,
elkhorn,
emerson,
emperor,
english,
english graft,
english greening,
english oxford,
english russet,english russet
english russet,
english russett,english russet
english russett,
english sweet,ramsdell sweet
esvalt,
eureka red streak,twenty ounce
eve's,
exalder,alexander
excelsior,
excelsior crab,
fairbanks,
fairbanks sweet,
falawater,
fall baldwin,
fall favorite,
fall genetin,
fall geneting,fall jenneting
fall genetting,
fall genitan,
fall genneting,
fall genneting,"fall genneting, fall jeanette"
fall gentian,fall jenneting
fall gentian,
fall gentian,fall jennetting
fall gravenstein,
fall greening,
fall greening,fall harvey
fall harvest,
fall harvey,
fall harvey,fall harvey
fall harvey greening,
fall hubbardston,
fall janet,
fall jannetting,
fall jeanetting,
fall jeaniting,
fall jenettan,
fall jenetting,
fall jenneting,
fall jenneting,fall jenneting
fall jenneting,fall jennetting
fall jennett,
fall jennetting,
fall jenning,
fall orange,
fall orange,fall orange
fall pippin,
fall pippin,fall pippin
fall porter,
fall porter,porter
fall river,
fall russett,
fall spy,fall spy
fall strawberry,late strawberry
fall strawberry,
fall sweet,
fall sweet russet,
fall sweet russett,pumpkin russet
fall sweeting,
fall talman,
fall water,fallawater
falla water,
fallawater,fallawater
fallawater,
fallawater,fallwater
falley water,fallawater
fallow water,
fallowater,
fallsweather,fallawater
fallwater,fallawater
falmouth pippin,
falmouth sweet,
fameuse,fameuse
fameuse,
famous blue,
famouse,
famuese,fameuse
famuse,
farmease,fameuse
farmer's,
farmer's apple,
farmer's beauty,
farmer's reward,
farmeuse,
farnes,
faus apple,
favorite,william's favorite
favorite,
feares,
fesset,
finch tree,
fisher,
fishkill,fishkill
fishkill,fish
fishpiller,fishkill
fitchburg,
flanders,
flanders favorite,
flaxon vixon,
fletcher sweet,fletcher sweet
fletcher sweet,
flushing spitsbergen,
forbes favorite,
forest favorite,
forsett graft,
foundling,
fountain,
franeuse,
franklin,
franklin sweet,franklin sweet
franklin sweet,
franklin sweeting,
franklin sweeting (red),
franklin sweeting (striped),
freemont,
fremont,
french crab,
french dwarf,
french pearmain,
french pippin,
french pomane,
french russet,
french sweet,
frye,
frye apple,frye
fullawater,fallawater
fullman sweet,
g mountain,
gale's pippin,
galveston,
gana,gano
gance,
gance,gano
gang,gano
gano,
gano,gano
gans,gano
garden,
garden apple,
garden beauty,
garden flat,
garden fruit,
garden graft,
garden pippin,
garden rosy,garden royal
garden royal,garden royal
garden royal,
garden spice,
garden sweet,garden sweet
garden sweet,
gardiner sweet,garden sweet
gardner,
gardner sweet,
geenating,fall genneting
gen ex,
gen. grant,general grant crab
genatin,
general grant,
genetian,
genetin,
genetin,fall jennetting
geneton,
genettie,fall jenneting
genettin,
genetting,
geneva pippin,
genitan,
genitin,
geniton,fall jennetting
genneting,fall jenneting
genneting,
gennett,
gennetts,fall jenneting
genniting,
genting,
germaine,
german prince,
german red,
germantown,
ghanvres,
giant beauty,granite beauty
gibson sweet,
gideon,
gideon,gideon
gilden beauty,
gile flower,
gilflower,
gilford sweet,
gill flower,
gillaflower,black gilliflower
gilley flower,
gillflower,
gillieflower,
gilliflower,black gilliflower
gilliflower,
gilly flower,black gilliflower
gillyflower,
girflin apple,
glori mundi,
gloria munch,gloria mundi
gloria mundi,gloria mundi
gloria mundi,gloria mundi (of maine)
gloria mundi,
gloria mundy,
goddard,
goding royal,garden royal
gold ball,golden ball
golden,
golden ball,golden ball
golden ball,
golden beauty,
golden bell,
golden crab,
golden crown,
golden delicious,
golden duchess,
golden flower,
golden greening,
golden harvest,
golden orb,golden ball
golden pearmain,
golden pippin,
golden pippin,golden pippin
golden porter,
golden royal,garden royal
golden royal,
golden russet,
golden russett,
golden russett quince,
golden sweet,
golden transparent,
good minister,minister
goodrich,
gordon russet,
gott apple,
gould's king,
governor,
graden pippin,
grand sachem,
grandmother,grandmother
granit beauty,granite beauty
granite,
granite beauty,granite beauty
granite beauty,
graton pippin,
graveline,
gravenstein,gravenstein
gravenstein,
gravenstine,
graveston,
gray russet,pomme gris
great eastern,gravenstein
green,
green baldwin,
green cooking,
green mountain,
green russet,
green sweet,
greening,
greening,rhode island greening
grey pippin,
grey russet,
grimace,
grime's golden,grimes golden
grime's golden,
grimes,
grimes golden,grimes golden
grimes golden,
grimes golden pippin,grimes golden
grimes' golden,
grimes' golden,grimes golden
guiner golden,
gum golden,
gurnthay,
gurrington,
gushee,gushee
h. nonesuch,
h. top sweet,high top sweet
haar,
haas,haas
haas,
hacked apple,
halbert,
hallowell pippin,
hamilton graft,
hard to beat,
harding,
hardy greening,
hardy sweet,
hardy's winter,
hart's,
hart's red,
hartford,
hartford sweet,
harvard,
harvest,
harvest greenings,fall harvey
harvest queen,
harvest sweet,
harvey,fall harvey
harvey,
harvey apple,
harvey greening,fall harvey
harvey greening,
harvey sweet,
haskell sweet,
hass,
hass,haas
hautboy,
hawley,hawley
hawthawden,
hawthornden,
hay boy,
hayford's sour,
hayford's sweet,hayford sweet
haynes sweet,
head russet,kavanagh russet
henderson sweet,
hendrick's sweet,
henrietta sweet,
herlbert,
herrman's favorite,
hersey greening,
hess,
hibbs,
higgins greening,
high sweet,hightop sweet
high top sweet,
high top sweet,hightop sweet
high top sweet,high top sweet
high top sweeting,
high top sweeting,hightop sweet
high-top sweet,
hightop,
hightop sweet,hightop sweet
hightop sweet,
hightop sweeting,
hilton,
hislop crab,
hobbs' best crab,
holland pippin,
holly,holly or hawley
holly,hawley
holly,
holly,holly
holly water,
holman russet,
holman sweet,tolman sweet
holman's russet,holman's russet
home sweet,
honey,
honey pink,
honey pink,honey pink
honey sweet,cummings sweet
honey sweet,
horther,mother
houdan,
house,
houston,
howe,
hoyt,
hoyt sweet,
hoyt's sweet,
hub. non.,hubbardston nonesuch
hub. nonesuch,hubbardston nonesuch
hub. nonsuch,
hubbard,
hubbard,hubbardston nonesuch
hubbard nonesuch,
hubbard nonesuch,hubbardston nonesuch
hubbardson,
hubbardson nonsuch,
hubbardson's nonsuch,hubbardston
hubbardstein,
hubbardsten,hubbardston
hubbardston,
hubbardston,hubbardston nonesuch
hubbardston none such,
hubbardston nonesuch,hubbardston nonesuch
hubbardston nonesuch,
hubbardston nonsuch,hubbardston
hubbardston nonsuch,
hubbardston nonsuch,hubbardston nonesuch
hubbardston's nonesuch,
hubbardston's nonesuch,hubbardston nonesuch
hubbardstone,hubbardston
hubbardstone,
hubbardstons nonesuch,hubbardston nonesuch
hubertson monarch,
hulbert,
hungarian crab,
hunt russet,
hunt russett,
hunt's red,
hunter,
hurbert,hurlbut
hurlbert,
hurlbert stripe,
hurlburt,hurlbut
hurlburt,
hurlbut,
hurlebut,
huston pippin,
hyslop,
hyslop crab,hyslop crab
hyslop crab,
hyslops crab,hyslop crab
hysop crab,
hyssop crab,hyslop crab
hyssop crab,
imperial,
imperial sweet,
improved ben davis,
improved fameuse,
improved greening,
improved pumpkin sweet,
ingalls,
iron ball,
iron clad greening,
ironstone,
italian russet,italian russet
jabe,
jack sweet,
jackson greening,
jackson sweet,
jacksons best,
jacob sweet,jacob sweet
jacob sweet,
jacob's sweet,
jacobs sweet,jacob sweet
jacobs sweet,
janetting,
janettion,fall jennetting
january russet,
jeanetting,
jeannette,
jeffries,jeffries
jelley flower,
jelliflower,
jelly apple,
jelly crab,
jelly flower,
jenetin,
jennet's red,jewetts red
jennetting,
jenny swett,
jersey,
jersey crab,
jersey greening,
jersey pippin,
jersey sweet,jersey sweet
jersey sweet,
jersey sweeting,
jewett's fine red,
jewett's fine red,jewett's fine red
jewetts,
jilliflower,
jilly flower,black gilliflower
jillyflower,
joe sweet,
johnson russet,
jonathan,
jonathan,jonathan
jonathan sweet,
jordan sweet,
joseph's choice,
joshua sweet,
judy sweet,
jumbo,
juneating,
justin,
kalm hill,killum hill
kaneas red,arkansas red
kavanagh,kavanagh russet
kavanagh graft,kavanagh russet
kavanah russet,
kavanah russett,kavanagh russet
keeper,
kellomell,
